Gene,Layer 1,Layer 2,Layer 3,Layer 4,Layer 5,Layer 6,Layer 7,Layer 8,Layer 9,P value,Q value (Benjamini-Hochberg corrected P value),CV,MZ,PV,Zone
Txn1,3.831903275,3.651809184,3.57410705,3.41049513,3.206976911,3.142733359,3.033574949,2.999500467,2.931826253,0,0,3.74185623,3.333578113,2.988300556,CV
Alad,1.964283457,1.8109803,2.006388859,1.455566792,1.431820324,1.327153862,1.259207821,1.223022238,1.177794817,0,0,1.887631879,1.555232459,1.220008292,CV
Vcp,4.042132598,3.890941601,3.966050089,3.568829892,3.315214625,3.25244491,3.19910902,3.098217711,3.104397824,0,0,3.9665371,3.525634879,3.133908185,CV
Npr2,0.419002356,0.299134294,0.226512734,0.167300484,0.133353557,0.0833892,0.08049336,0.066828302,0.051716839,0,0,0.359068325,0.152638994,0.066346167,CV
Prdx1,16.7395848,16.1296683,15.58030558,14.78640962,14.56085138,13.89549777,13.50035361,13.29592136,12.94776301,0,0,16.43462655,14.70576609,13.24801266,CV
Akr1a1,3.41824576,3.09327578,2.853557446,2.746496477,2.658034178,2.554278628,2.454683434,2.485570046,2.434928223,0,0,3.25576077,2.703091682,2.458393901,CV
Cyp4a14,1.300970051,0.932758135,0.694254592,0.558801199,0.472255639,0.395408979,0.361593146,0.309888498,0.289368562,0,0,1.116864093,0.530180102,0.320283402,CV
Ugt2b34,4.75273054,4.192932965,3.751333885,3.380473006,3.162879742,2.860080286,2.618286358,2.516401238,2.377944232,0,0,4.472831753,3.28869173,2.504210609,CV
Sult1d1,0.989538415,0.965174106,0.919137287,0.867162023,0.784661686,0.705162988,0.645428271,0.590881745,0.537314726,0,0,0.977356261,0.819030996,0.591208247,CV
Hpd,15.22572767,14.20726307,13.40482033,12.65835496,11.87493115,11.2468202,10.85088345,10.57242827,10.20170785,0,0,14.71649537,12.29623166,10.54167319,CV
Aldh2,12.29406907,11.13222943,10.30808562,9.775459498,9.07997192,8.492136885,8.136564642,7.629794739,7.368279267,0,0,11.71314925,9.413913481,7.711546216,CV
Cyp3a25,8.10489076,8.152264403,7.831872414,7.53895428,7.059021144,6.953995703,6.930644927,6.876144597,7.003062452,1.4209700563596e-311,0,8.128577582,7.345960885,6.936617325,CV
Abcg2,0.894318455,0.765389682,0.702834638,0.618496263,0.56751893,0.551698267,0.55595069,0.515107602,0.510288631,0,0,0.829854069,0.610137025,0.527115641,CV
Slco1b2,19.68873837,16.75853039,14.62668153,12.2578177,10.28963124,8.46843515,7.045105973,6.029169444,5.166088466,0,0,18.22363438,11.41064141,6.080121294,CV
Sult2a8,8.763788177,8.673867864,8.663050302,8.192151591,7.642542613,7.028491466,6.383765578,5.895446979,5.288642804,0,0,8.718828021,7.881558993,5.855951787,CV
Csrp3,0.330169282,0.305617256,0.332545044,0.280344273,0.251794443,0.208796823,0.170535267,0.150527758,0.13724242,0,0,0.317893269,0.268370146,0.152768482,CV
Dgat2,4.11058323,3.977683784,3.825322752,3.657017436,3.505323335,3.450351191,3.318990041,3.162946061,3.129537057,0,0,4.044133507,3.609503679,3.203824386,CV
Oat,36.67324957,23.77943435,15.42508876,10.85738486,8.284053069,6.866696584,5.790166315,4.949092206,3.701065736,0,0,30.22634196,10.35830582,4.813441419,CV
Lhpp,1.02896989,0.749522346,0.557050263,0.421673111,0.298178241,0.240997418,0.200066583,0.182645324,0.156331654,0,0,0.889246118,0.379474758,0.179681187,CV
Ces2e,3.664010325,3.09063569,2.877047574,2.422715559,2.307233108,2.172964495,2.096244131,2.076213976,2.038567518,0,0,3.377323008,2.444990184,2.070341875,CV
Nxpe2,0.283895539,0.229006998,0.144766231,0.102969063,0.071236524,0.068482361,0.046423702,0.03626395,0.029675264,0,0,0.256451269,0.096863545,0.037454305,CV
Aqp9,4.806184853,4.153428901,3.716448908,3.342551151,2.962973843,2.561178082,2.259549097,2.036065648,1.826311397,0,0,4.479806877,3.145787996,2.040642047,CV
Cyp1a2,15.50399123,11.68562673,9.359228715,7.052707129,5.468805454,4.185213856,3.273005811,2.52513892,1.749166804,0,0,13.59480898,6.516488789,2.515770512,CV
Me1,0.725936442,0.656844737,0.583327836,0.542349286,0.492329184,0.456824613,0.409030238,0.418044333,0.403675417,0,0,0.69139059,0.51870773,0.410249996,CV
Cdo1,11.45258943,11.52894828,11.47066895,10.89745428,10.12838546,9.095105533,8.195934064,7.488968483,6.873322811,0,0,11.49076886,10.39790356,7.519408453,CV
Nat8f2,8.636548102,8.58026696,8.276661818,7.95216617,7.546296914,6.755019875,6.217145125,5.900325394,5.545236656,0,0,8.608407531,7.632536194,5.887569058,CV
Rnf43,0.246863061,0.177966178,0.151107923,0.146362451,0.116424836,0.115380037,0.084757868,0.086441136,0.069148298,0,0,0.21241462,0.132318812,0.080115767,CV
Gulo,6.206468592,4.670792423,3.650459455,2.761136312,2.114178485,1.68375438,1.302842753,1.084466467,0.905968587,0,0,5.438630508,2.552382158,1.097759269,CV
Slc25a21,0.283477765,0.248984594,0.217743154,0.192123617,0.16922107,0.144595687,0.127466213,0.105892064,0.110430337,0,0,0.26623118,0.180920882,0.114596205,CV
Dym,0.61728195,0.487147883,0.422728924,0.387578907,0.363664033,0.348672784,0.328827613,0.320163089,0.293650404,0,0,0.552214917,0.380661162,0.314213702,CV
Ugt2b35,2.031068715,1.796668295,1.706975672,1.525870266,1.441951574,1.280368492,1.21354905,1.155584162,1.089920923,0,0,1.913868505,1.488791501,1.153018045,CV
Ugt2b1,7.992916779,7.297721988,6.528854351,5.811733128,5.111097482,4.753240279,4.459175613,4.258733553,4.184058014,0,0,7.645319384,5.55123131,4.300655727,CV
Acaa1a,3.275182513,2.96732477,2.725358163,2.64852938,2.536015794,2.510067708,2.486696054,2.437199747,2.368836453,0,0,3.121253642,2.604992761,2.430910751,CV
Rmdn2,0.795699115,0.667567139,0.656831975,0.482967173,0.388297373,0.321876156,0.303636169,0.276994147,0.253782506,0,0,0.731633127,0.462493169,0.278137607,CV
Tmem97,1.004097222,0.873655512,0.774224268,0.744008488,0.706940016,0.652766663,0.623722252,0.604774361,0.568347547,0,0,0.938876367,0.719484859,0.598948053,CV
Vnn1,0.367831257,0.22121951,0.141328521,0.128241088,0.101370774,0.093550429,0.085960451,0.089144887,0.091973675,0,0,0.294525384,0.116122703,0.089026338,CV
Mbl1,3.168507544,2.892641991,2.70853571,2.580461389,2.418041115,2.361589573,2.23256851,2.159941369,2.110716833,0,0,3.030574768,2.517156947,2.167742237,CV
Hsd3b5,4.227323155,4.133448298,4.123391904,3.89973517,3.762128273,3.525845616,3.244123745,3.10510343,2.83023468,0,0,4.180385727,3.827775241,3.059820618,CV
Tlcd2,3.363250152,3.161842947,2.828068814,2.554078635,2.341517975,2.228313347,2.121913552,2.037706087,1.917329815,0,0,3.26254655,2.487994693,2.025649818,CV
Susd4,0.34294664,0.297903449,0.265136898,0.23324648,0.17521441,0.126886154,0.112582653,0.084650231,0.065084144,0,0,0.320425045,0.200120986,0.087439009,CV
Elovl3,3.588986812,3.345300059,2.895698596,2.505398682,2.20549637,1.944806728,1.706185397,1.51881613,1.355034855,0,0,3.467143436,2.387850094,1.526678794,CV
Nrn1,1.7833967,1.573936341,1.413220427,1.294006686,1.160809045,1.029163166,1.006357729,0.902916082,0.864482725,0,0,1.678666521,1.224299831,0.924585512,CV
Rdh7,17.76823301,18.00776006,17.93328167,18.30356393,17.20599705,16.77268125,16.32940052,16.14519926,15.90481306,0,0,17.88799654,17.55388098,16.12647095,CV
Fmo1,1.222853447,1.046126744,0.925288698,0.905250666,0.7774326,0.741023743,0.726826923,0.684077686,0.657420517,0,0,1.134490096,0.837248927,0.689441709,CV
Blvrb,2.234832378,1.853904097,1.50899164,1.30943296,1.15523849,1.052607286,0.939763226,0.870689472,0.776416699,0,0,2.044368238,1.256567594,0.862289799,CV
Gstm2,0.958968299,0.677265264,0.495573911,0.380691003,0.314228126,0.268640368,0.222671853,0.201657312,0.172030144,0,0,0.818116782,0.364783352,0.198786436,CV
Creg1,9.005253184,8.3175029,7.791518555,7.440990535,6.96198215,6.71423628,6.281638176,6.200220916,5.880710487,0,0,8.661378042,7.22718188,6.120856526,CV
Tmem205,8.372945246,8.187182197,7.906876036,7.853938424,7.570270801,7.346471348,7.144037497,7.087573572,6.987917083,0,0,8.280063722,7.669389152,7.073176051,CV
Slc19a2,0.680871576,0.613270184,0.570352449,0.517048738,0.464069407,0.414354737,0.409570694,0.372899219,0.337413074,0,0,0.64707088,0.491456333,0.373294329,CV
Slc16a11,0.115967523,0.064776513,0.045423852,0.037023797,0.026725718,0.023880754,0.023783259,0.016208121,0.015791922,0,0,0.090372018,0.03326353,0.018594434,CV
Slco1a1,5.007252255,4.768845972,4.448620226,4.344691579,4.155105401,3.762643517,3.550233964,3.332691814,3.229742239,0,0,4.888049114,4.177765181,3.370889339,CV
Cyp2c37,13.34296768,8.708380355,5.816609977,4.017150677,2.88999504,2.278778265,1.859711945,1.502496136,1.056195598,0,0,11.02567402,3.75063349,1.472801226,CV
Abcb4,1.450911466,1.294799146,1.162781193,1.117754114,1.003881267,0.990964007,0.954959919,0.961092805,1.036495489,0,0,1.372855306,1.068845145,0.984182738,CV
Notum,0.390804906,0.344535682,0.297233807,0.262586729,0.205128273,0.154094378,0.120151053,0.104216315,0.091364027,0,0,0.367670294,0.229760797,0.105243798,CV
Fam25c,3.012949377,2.876573954,2.606275217,2.396265366,2.261163773,2.073950597,1.938953138,1.810433392,1.758096142,0,0,2.944761666,2.334413738,1.835827557,CV
Cldn2,1.032039331,0.890737062,0.835760392,0.719805952,0.591850058,0.483365704,0.433687385,0.318618492,0.251954796,0,0,0.961388197,0.657695527,0.334753558,CV
Ugt3a2,3.298776177,3.056263007,2.847492694,2.772407053,2.702372761,2.596362772,2.539020001,2.498750038,2.428986541,0,0,3.177519592,2.72965882,2.48891886,CV
Rarres1,0.929928439,0.773295261,0.663459828,0.583568796,0.502817141,0.433115499,0.387395215,0.380273833,0.3620037,0,0,0.85161185,0.545740316,0.376557583,CV
Tsku,0.274480923,0.225884074,0.217389584,0.164684781,0.147782836,0.13005783,0.1225586,0.110318497,0.107367232,0,0,0.250182499,0.164978758,0.113414776,CV
Cyp8b1,4.389217099,4.347059263,4.067210795,3.862807869,3.599020843,3.606529395,3.29755245,3.196881772,2.992431206,0,0,4.368138181,3.783892226,3.162288476,CV
Ftl1,30.6067965,30.76700519,29.89500506,28.97719157,28.33410751,27.68886585,27.09388296,27.04160364,26.52881782,0,0,30.68690085,28.7237925,26.88810147,CV
Aldh1a1,24.8778348,21.19475187,17.54473469,15.27732429,13.11611403,11.63976299,10.37343444,9.213497583,7.604816367,0,0,23.03629334,14.394484,9.06391613,CV
Lifr,3.528065378,3.694984637,3.729286094,3.666679519,3.426737864,3.160771263,2.944571304,2.719065721,2.457626632,0,0,3.611525008,3.495868685,2.707087886,CV
Fabp1,86.96431121,85.75228824,85.05540218,83.08413143,81.75811379,80.24785467,77.85054116,76.67325134,74.74094554,0,0,86.35829973,82.53637552,76.42157935,CV
Akr1c20,1.726601632,1.452744862,1.222065509,1.052731402,0.939481878,0.870205898,0.816047057,0.760884454,0.739694034,0,0,1.589673247,1.021121172,0.772208515,CV
