"","x"
"SESN2",0.795874601695216
"MALT1",0.79623301985371
"PSMD4",0.796281641193651
"BANP",0.796309176873764
"COX16",0.796797224989387
"OTUD4",0.796916221033868
"CDCA7L",0.796916221033868
"TMEM260",0.796916221033868
"SLC16A10",0.796916221033868
"DIAPH2",0.796916221033869
"RP11-867G23.8",0.796916221033869
"MGAT4A",0.796916221033869
"ZNF259",0.796953603317041
"TNRC18",0.797126676319024
"SLC27A2",0.797215900271134
"CD5L",0.797588055005694
"ADHFE1",0.798006507539703
"FAM193B",0.79801071701284
"ABCA8",0.79815179386632
"BSG",0.799317373163979
"SPTAN1",0.799339327576835
"PYURF",0.799668999752278
"CYP2A6",0.800251300459886
"ST6GAL1",0.801336358421038
"TST",0.801825613432126
"RBM12",0.802016686303458
"ILF2",0.802059668983503
"PLA2G5",0.802180639963703
"CDC37L1",0.802367557978597
"PDCD4",0.802463820363827
"HRG",0.802707687412981
"F5",0.803067147544828
"MLST8",0.803291740966924
"SOX13",0.803430991660342
"FABP5",0.803520499108733
"PCBD1",0.803520547779331
"NEK6",0.804401440255299
"WFS1",0.804955802520981
"CMBL",0.805765123966315
"MTHFR",0.805999912038473
"LARS",0.806057035593695
"ANO1",0.806146966713073
"CALR",0.806244905182911
"CDH2",0.806615754819352
"USP40",0.806908391152292
"RAMP1",0.807013496048765
"CHMP7",0.807114932461742
"POLRMT",0.807264721520971
"C8G",0.80729290586491
"HYOU1",0.807547603963225
"RNF4",0.80815865445093
"ASXL2",0.808213271103896
"PURB",0.808213271103896
"PTP4A2",0.808623005045234
"MPP6",0.808965975932654
"ANKRD13D",0.809391227588602
"C1orf53",0.809430532201028
"SERBP1",0.809597735979669
"ZNF768",0.809698659813214
"HSBP1",0.809922317866679
"MON1B",0.810504890814958
"RNF121",0.810675629963542
"F12",0.811774705561093
"SREK1IP1",0.812412558750249
"TPPP2",0.812412558750249
"ACKR3",0.812412558750249
"NOM1",0.812412558750249
"POLG2",0.812412558750249
"SPEF2",0.812412558750249
"SFRP5",0.812412558750249
"LRRC32",0.812585520363485
"VIMP",0.81301038967244
"MIR503HG",0.813239849231229
"MT-ND2",0.813647501122619
"SVIL",0.81386244350401
"ASPG",0.814265637493432
"ID1",0.81474433233234
"RBM19",0.815087563203398
"AUP1",0.815342429436524
"MTRNR2L2",0.815377641876247
"PDE12",0.815590386624869
"TOR1A",0.815590386624869
"MT-ND1",0.816040954779708
"CTIF",0.816312551326412
"HEXA",0.816371512459825
"MMACHC",0.816528925619834
"RP11-195F19.5",0.816528925619834
"KDM4A",0.816528925619835
"VPS11",0.816528925619835
"MRPL1",0.817031023413721
"SIK1",0.817702470858005
"TMEM110",0.817900782013685
"TAF12",0.817987012987012
"CMKLR1",0.817987012987012
"TOPORS",0.817987012987012
"CROCC",0.817987012987013
"SETD5-AS1",0.817987012987013
"ME1",0.817987012987013
"VMA21",0.817987012987013
"AC010883.5",0.817987012987013
"C17orf58",0.817987012987013
"GIMAP4",0.817987012987013
"EFTUD1",0.817987012987013
"CX3CL1",0.817987012987013
"DGCR14",0.817987012987013
"ASB1",0.817987012987013
"NUP205",0.817987012987013
"INIP",0.817987012987013
"CES4A",0.817987012987013
"RIOK1",0.817987012987013
"AP3B1",0.817987012987013
"MEF2C",0.817987012987013
"RNF214",0.817987012987013
"ZNF649",0.817987012987013
"TCF7L1",0.817987012987013
"MAGI3",0.817987012987013
"ABL2",0.817987012987014
"C1orf198",0.817987012987014
"LMTK2",0.817987012987014
"CIT",0.817987012987014
"RP11-505K9.1",0.817987012987014
"SLCO2A1",0.817987012987014
"STX17",0.817987012987014
"FEM1A",0.817987012987014
"PLAC9",0.818049340555817
"EXTL2",0.818164745237354
"MAPK1",0.818266343500296
"EIF2S1",0.818379344772708
"ZNF428",0.818429375060261
"MFAP4",0.818587883835523
"ALDOB",0.818713258318318
"BAG1",0.819239433480767
"SLC8A1",0.819287469287466
"MYO16",0.819287469287467
"RP11-1275H24.1",0.819287469287467
"SETD1B",0.819287469287467
"ADAMTS4",0.819287469287467
"FIBIN",0.819287469287467
"AC004463.6",0.819287469287467
"PRELID2",0.819287469287467
"AC004012.1",0.819287469287467
"UPK3B",0.819287469287468
"STEAP2",0.819287469287468
"BRAF",0.819287469287468
"OTUD6B",0.819287469287468
"RP11-95P2.3",0.819287469287468
"TPX2",0.819287469287468
"hsa-mir-1199",0.819287469287468
"ZNF526",0.819287469287468
"SRPX2",0.819287469287468
"BRPF1",0.819287469287468
"LSM11",0.819287469287468
"SMARCD1",0.819287469287468
"DACH1",0.819287469287468
"RHBDF1",0.819287469287468
"FBXO15",0.819287469287468
"PPAN",0.819287469287468
"CDC42EP5",0.819287469287468
"KCNK17",0.819287469287468
"RABL5",0.819287469287468
"PTPN21",0.819287469287468
"RP11-166P13.3",0.819287469287468
"FBF1",0.819287469287468
"DHFRL1",0.819287469287469
"ARL10",0.819287469287469
"NRN1",0.819287469287469
"SYTL5",0.819287469287469
"RGAG4",0.819287469287469
"TTC33",0.819287469287469
"C10orf88",0.819287469287469
"LDHC",0.819287469287469
"TIRAP",0.819287469287469
"DCAF4",0.819287469287469
"RAP1GAP2",0.819287469287469
"CCL5",0.819287469287469
"TSHZ3",0.819287469287469
"FNDC5",0.819287469287469
"RP11-134G8.7",0.819287469287469
"RP11-15I11.3",0.819287469287469
"RP11-802O23.3",0.819287469287469
"LXN",0.819287469287469
"LRAT",0.819287469287469
"AC026740.1",0.819287469287469
"WASF1",0.819287469287469
"CASP2",0.819287469287469
"FABP4",0.819287469287469
"RP11-327P2.5",0.819287469287469
"CBLN3",0.819287469287469
"SLC39A6",0.819287469287469
"SPAST",0.819287469287469
"CAB39L",0.819287469287469
"SPATA6",0.819287469287469
"PDE4B",0.819287469287469
"RP11-196G18.24",0.819287469287469
"MTMR11",0.819287469287469
"ARHGAP25",0.819287469287469
"ABCB11",0.819287469287469
"SETMAR",0.819287469287469
"DPH3",0.819287469287469
"TM4SF18",0.819287469287469
"BST1",0.819287469287469
"RANBP17",0.819287469287469
"TRAM2-AS1",0.819287469287469
"FAM185A",0.819287469287469
"RP11-22N19.2",0.819287469287469
"PLP2",0.819287469287469
"MTMR1",0.819287469287469
"PLEKHF2",0.819287469287469
"ZCCHC7",0.819287469287469
"RP11-611D20.2",0.819287469287469
"CYP17A1",0.819287469287469
"DTX3",0.819287469287469
"GZMH",0.819287469287469
"SLC25A21-AS1",0.819287469287469
"RP11-982M15.2",0.819287469287469
"SEMA6D",0.819287469287469
"SLC12A1",0.819287469287469
"RPP25",0.819287469287469
"ZNF213",0.819287469287469
"NPIPA2",0.819287469287469
"ZKSCAN2",0.819287469287469
"GNA15",0.819287469287469
"PVALB",0.819287469287469
"PKNOX1",0.819287469287469
"TTC30A",0.819287469287469
"DOCK2",0.819287469287469
"VPS37D",0.819287469287469
"CSTF2",0.819287469287469
"DOK2",0.819287469287469
"PIBF1",0.819287469287469
"DDX52",0.819287469287469
"ZNF546",0.819287469287469
"KLHDC7A",0.81928746928747
"ZFP69",0.81928746928747
"RP11-554J4.1",0.81928746928747
"EOGT",0.81928746928747
"ATP10D",0.81928746928747
"CTD-2256P15.2",0.81928746928747
"USP45",0.81928746928747
"FAM220A",0.81928746928747
"TMEM209",0.81928746928747
"ERCC6L2",0.81928746928747
"RP11-396O20.1",0.81928746928747
"DNAJC24",0.81928746928747
"SCN8A",0.81928746928747
"RP11-176H8.1",0.81928746928747
"SPATA7",0.81928746928747
"NIPA1",0.81928746928747
"ZNF821",0.81928746928747
"CTU2",0.81928746928747
"MED9",0.81928746928747
"FLT3LG",0.81928746928747
"FAM19A5",0.81928746928747
"TRIT1",0.81928746928747
"GBP3",0.81928746928747
"CNRIP1",0.81928746928747
"TTN-AS1",0.81928746928747
