"","x"
"Tecpr1",0.662162162162162
"Hexdc",0.662162162162162
"Nxt2",0.662162162162162
"Lysmd1",0.662162162162162
"AI480526",0.662162162162162
"Ktn1",0.662162162162162
"Mlh1",0.662162162162162
"Lnpep",0.662162162162162
"Nop56",0.662162162162162
"Adh4",0.662162162162162
"Cyp4a32",0.662162162162162
"Ctla2a",0.662162162162162
"Clpx",0.66236559139785
"5033406O09Rik",0.662878787878788
"Mrps33",0.663265306122449
"Gm30262",0.663793103448276
"Tmem161a",0.663793103448276
"Snx24",0.663793103448276
"Ppp6r1",0.665
"Hectd3",0.666666666666667
"L2hgdh",0.666666666666667
"AC118710.3",0.666666666666667
"Ppm1a",0.666666666666667
"Nudt7",0.667588113337941
"Pccb",0.668377823408624
"Ndufs8",0.668734491315136
"Lpl",0.668789808917198
"Fcer1g",0.669565217391304
"Rcbtb1",0.671232876712329
"Nfxl1",0.671232876712329
"Atad1",0.671232876712329
"G6pc",0.67379679144385
"Acbd5",0.67478813559322
"Hp",0.675450254963654
"Zc3h7a",0.676136363636364
"Rab17",0.676136363636364
"Mief2",0.676666666666667
"Rpl14",0.677115987460815
"Alas2",0.6772030651341
"Mlec",0.67741935483871
"Etfrf1",0.67741935483871
"Rnf167",0.67741935483871
"Sntb1",0.67741935483871
"Rxrb",0.67741935483871
"Ube2f",0.67741935483871
"Lyrm9",0.67741935483871
"Spin1",0.67910447761194
"Eri3",0.67910447761194
"Bloc1s4",0.67910447761194
"Atg9a",0.67910447761194
"Slc2a8",0.67910447761194
"Ggct",0.67910447761194
"Ces2g",0.67910447761194
"Tob1",0.679611650485437
"Fcgrt",0.67991169977925
"Cks2",0.68
"Adck5",0.682203389830508
"Cox6c",0.682203389830508
"Srsf10",0.683908045977011
"Hspb6",0.683908045977011
"Cd2bp2",0.683908045977011
"Dnajc4",0.683908045977011
"Cry2",0.683908045977012
"D630039A03Rik",0.683908045977012
"Rpl10",0.684341342170671
"Vwa8",0.684391080617496
"Nudc",0.684782608695652
"Mtif3",0.684782608695652
"Slc29a1",0.685185185185185
"Pemt",0.685469314079422
"Smagp",0.686274509803921
"Cox20",0.686659192825112
"Mbl2",0.686742424242424
"Snrpc",0.688202247191011
"Polr1d",0.688235294117647
"Agpat2",0.690748898678414
"Sec22b",0.690789473684211
"Slc6a12",0.690789473684211
"Ctsd",0.690938511326861
"Fuom",0.691176470588235
"Ddt",0.692262464722483
"Cyp7b1",0.69359756097561
"1110032A03Rik",0.69359756097561
"Abcc2",0.694369973190349
"Mien1",0.694789081885856
"Rpl21",0.694868662186927
"Ndufa10",0.696302816901409
"Ttr",0.696637750483955
"Creg1",0.697448359659781
"C8a",0.697685950413223
"Rpl18a",0.699534419687396
"Ngdn",0.7
"Cpq",0.7
"Txnl4a",0.7
"Fahd2a",0.7
"Faf1",0.7
"Bnip3",0.704918032786885
"Selenos",0.704918032786885
"Mmd",0.704946996466431
"Bdh1",0.705917874396135
"Sult1a1",0.706363636363636
