"","zone_1","zone_2","zone_3"
"Fam72a",0,0,0
"Ctse",0,NA,0
"Rab7b",0,NA,0
"Pm20d1",0,0,0
"Slc41a1",0,0,0
"Rab29",0,0,0
"Nucks1",0,0,0
"Slc45a3",0,0,0
"Elk4",0,0,0
"Cdk18",0,0,0
"Gm29629",0,NA,0
"Klhdc8a",0,0,0
"Nuak2",0,0,0.0199717189266041
"Tmcc2",0,0,0
"Dstyk",0,0,0
"Rbbp5",0,0,0
"Tmem81",0,NA,0
"Cntn2",0,NA,0
"Nfasc",0,NA,0
"Mdm4",0,0,0
"Pik3c2b",0,0,0
"Ppp1r15b",0,0,0
"Plekha6",0,0,0
"Gm19461",0,NA,0
"Golt1a",0,0,0
"Etnk2",0,0,0.0106186363137724
"Sox13",0,0,0
"Snrpe",0,0,0
"Zc3h11a",0,NA,0
"Lax1",0,NA,0
"Atp2b4",0,0,0
"Prelp",0,0,0
"Fmod",0,0,0
"Btg2",0,0,0
"Adora1",0,0,0
"Ppfia4",0,0,0
"Tmem183a",0,0,0
"Cyb5r1",0,0,0
"Adipor1",0,0,0
"Klhl12",0,0,0
"Rabif",0,0,0
"Kdm5b",0,0,0
"Ppp1r12b",0,0,0
"Ube2t",0,0,0
"Ptpn7",0,NA,0
"Arl8a",0,0,0
"Elf3",0,0,0
"Rnpep",0,0,0.0170577663475331
"Timm17a",0,0,0
"Lmod1",0,NA,0
"Shisa4",0,NA,0
"Ipo9",0,0,0
"Nav1",0,0,0
"Csrp1",0,0,0
"Phlda3",0,0,0
"Lad1",0,0,0.0175323952341336
"Tnnt2",0,0,0
"Pkp1",0,NA,0
"Tmem9",0,0,0
"Cacna1s",0,NA,0
"Kif21b",0,0,0
"Camsap2",0,0,0
"Ddx59",0,0,0
"Zfp281",0,0,0
"Gm19705",0,0,0
"Platr22",0,NA,0
"Nr5a2",0,0,0
"Ptprc",0,0,0
"Nek7",0,0,0
"X2310009B15Rik",0,0,0
"Dennd1b",0,0,0
"Zbtb41",0,0,0
"Aspm",0,NA,0
"F13b",0,0,0.0127802125891991
"Cfhr1",0,0,0.0163849939547096
"Gm4788",0,0,0
"Cfhr2",0.0249251277960486,0,0
"Cfh",0.0812580199372493,0,0
"Kcnt2",0,0,0
"Cdc73",0,0,0
